domain,url
en.wikipedia.org,https://en.wikipedia.org/wiki/Main_Page
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=Main_Page&action=show-download-screen
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:QrCode&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:SpecialPages
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page
en.m.wikipedia.org,https://en.m.wikipedia.org/wiki/Main_Page
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Special:CiteThisPage&page=Main_Page&id=1225315602&wpFormIdentifier=titleform
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&oldid=1225315602
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&printable=yes
en.wikipedia.org,https://en.wikipedia.org/wiki/Talk:Main_Page
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer
en.wikipedia.org,https://en.wikipedia.org/wiki/European_theatre_of_World_War_II
en.wikipedia.org,https://en.wikipedia.org/wiki/Wikipedia:Text_of_the_Creative_Commons_Attribution-ShareAlike_4.0_International_License
ur.wikipedia.org,https://ur.wikipedia.org/wiki/%D8%B5%D9%81%D8%AD%DB%82_%D8%A7%D9%88%D9%84
te.wikipedia.org,https://te.wikipedia.org/wiki/%E0%B0%AE%E0%B1%8A%E0%B0%A6%E0%B0%9F%E0%B0%BF_%E0%B0%AA%E0%B1%87%E0%B0%9C%E0%B1%80
th.wikipedia.org,https://th.wikipedia.org/wiki/%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:MyTalk
sl.wikipedia.org,https://sl.wikipedia.org/wiki/Glavna_stran
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&action=edit
sq.wikipedia.org,https://sq.wikipedia.org/wiki/Faqja_kryesore
pa.wikipedia.org,https://pa.wikipedia.org/wiki/%E0%A8%AE%E0%A9%81%E0%A9%B1%E0%A8%96_%E0%A8%B8%E0%A8%AB%E0%A8%BC%E0%A8%BE
en.wikipedia.org,https://en.wikipedia.org/w/index.php?title=Main_Page&action=history
my.wikipedia.org,https://my.wikipedia.org/wiki/%E1%80%97%E1%80%9F%E1%80%AD%E1%80%AF%E1%80%85%E1%80%AC%E1%80%99%E1%80%BB%E1%80%80%E1%80%BA%E1%80%94%E1%80%BE%E1%80%AC
mk.wikipedia.org,https://mk.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
en.wikipedia.org,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Main_Page
ml.wikipedia.org,https://ml.wikipedia.org/wiki/%E0%B4%AA%E0%B5%8D%E0%B4%B0%E0%B4%A7%E0%B4%BE%E0%B4%A8_%E0%B4%A4%E0%B4%BE%E0%B5%BE
lt.wikipedia.org,https://lt.wikipedia.org/wiki/Pagrindinis_puslapis
sk.wikipedia.org,https://sk.wikipedia.org/wiki/Hlavn%C3%A1_str%C3%A1nka
